Old Name,New Name,,
AATI,,no longer client,
Action Challange,Action Challenge,,
Action Challenge,Action Challenge,,
AEG,AEG,,
Alupro,Alupro,,
Arsenal,Arsenal,,
Barserve.Co,Barserve Co,,
BarserveCo,Barserve Co,,
Be Gung-Ho,Be Gung-Ho,,
Bespoke Event,Bespoke Events,,
Best Parties Ever,Best Parties Ever,,
Bestival,Bestival,,
Big Bang Events,,no longer client,
Big Finish Event Team,,no longer client,
Blackpants,Blackpants,,
BPE,BPE,,
British Gas,British Gas,,
British Heart Foundation,British Heart Foundation,,
BT Bunch,BT Bunch,,
Campus Group,Campus Group,,
Catalyst,,no longer client,
Chris Green,Kethro Ltd,,
Chris Greene,Kethro Ltd,,
Cirtius,Citrus,,
Citrus,Citrus,,
Cleaner Cars,Cleaner Cars,,
Coffee HQ,Coffee HQ,,
Colour Vibe,Colour Vibe,,
Competitor UK,Competitor UK,,
Cream,Cream,,
Creative,Creative Events,,
creative,Creative Events,,
Creative Events,Creative Events,,
Dan Luker,Dan Luker,,
DC Thomson,,no longer client,
Demon Wheelers,Demon Wheelers,,
Derby Bars,Derby Bars,,
Digital Doughnut,,no longer client,
DIPSOLUTIONS,,no longer client,
Dirty Dozen,Dirty Dozen,,
ebay,eBay,,
ebe,eBay,,
EBE,eBay,,
eby,eBay,,
EBYE,eBay,,
Engaged Media Solution,Engaged Media Solutions,,
Eroica,Eroica,,
evenbyevent,Event by Event,,
Event by Event,Event by Event,,
Event By Event,Event by Event,,
Events Organised Ltd,Events Organised Ltd,,
Extreme Adventure,Extreme Adventures,,
Extreme Adventures,Extreme Adventures,,
Extreme Adventures,Extreme Adventures,,
Ferry Tavern,Ferry tavern,,
Ferry tavern,Ferry tavern,,
Festival Republic,Festival Republic,,
Field Vision,Field Vision,,
Filthy Girls,,no longer client,
FilthyGirl,,no longer client,
Fine Foods,Fine Foods,,
FOH Org,FOH Org,,
Fun,Fun Ltd,,
FUN,Fun Ltd,,
FUN ltd,Fun Ltd,,
Fun Ltd,Fun Ltd,,
Fun ltd,Fun Ltd,,
fun ltd,Fun Ltd,,
Gladitors,,no longer client,
GO2 Events,Go2Events,,
go2events,Go2Events,,
Go2Events,Go2Events,,
GO2Events,Go2Events,,
Green Eye Events,,no longer client,
Hackney Council,Hackney Council,,
Hatch,,no longer client,
Health Network,Health Network,,
Home Fundraising,,no longer client,
IAG,IAG,,
IMG,IMG,,
In Motion,,no longer client,
In Motion Sport,,no longer client,
Individual Events,Individual Events,,
Inmotion,,no longer client,
Ironman UK,Ironman UK,,
Julia Charles,Julia Charles,,
Karl Morgan,Karl Morgan,,
Laine Pub Company,Laine Pub Company,,
Limelight,Limelight Sports,,
Limelight Sports,Limelight Sports,,
Liquid Chefs,Liquid Chefs,,
Little Feast,Little Feast,,
LIVE eVENTS,Live Event Services,,
Lowry,Lowry,,
The Lowery,Lowry,,
Luna Cinema,Luna Cinema,,
Madiera Promotion Bureau,Madiera Promotion Bureau,,
Maggies,Maggies,,
Marc Bainbridge,,no longer client,
Mass-Ive,Mass-Ive,,
Mecco,Mecco,,
Meeca - Rob,,no longer client,
Much Movement,Munch Movement,,
Munch Movement,Munch Movement,,
Muskateers,Muskateers,,
Off Limits,,no longer client,
Offlimits,,no longer client,
Open Management,Open Management,,
